category,total_orders,problem_orders,cancellation_rate_pct
dvds_blu_ray,59,2,3.39
construcao_ferramentas_seguranca,167,5,2.99
construcao_ferramentas_jardim,194,4,2.06
instrumentos_musicais,628,11,1.75
telefonia_fixa,217,3,1.38
livros_interesse_geral,512,7,1.37
eletrodomesticos_2,234,3,1.28
eletroportateis,630,8,1.27
,1451,14,0.96
consoles_games,1062,10,0.94
fashion_roupa_masculina,112,1,0.89
alimentos_bebidas,227,2,0.88
brinquedos,3886,34,0.87
utilidades_domesticas,5884,49,0.83
fashion_calcados,240,2,0.83
construcao_ferramentas_iluminacao,244,2,0.82
moveis_cozinha_area_de_servico_jantar_e_jardim,248,2,0.81
automotivo,3897,31,0.8
climatizacao,253,2,0.79
artigos_de_natal,128,1,0.78
bebes,2885,22,0.76
informatica_acessorios,6689,46,0.69
esporte_lazer,7720,51,0.66
moveis_decoracao,6449,36,0.56
perfumaria,3162,17,0.54
ferramentas_jardim,3518,19,0.54
papelaria,2311,12,0.52
artes,202,1,0.5
moveis_sala,422,2,0.47
eletronicos,2550,12,0.47
cool_stuff,3632,17,0.47
telefonia,4199,18,0.43
beleza_saude,8836,36,0.41
malas_acessorios,1034,4,0.39
relogios_presentes,5624,21,0.37
market_place,280,1,0.36
bebidas,297,1,0.34
fashion_bolsas_e_acessorios,1864,6,0.32
pet_shop,1710,5,0.29
audio,350,1,0.29
construcao_ferramentas_construcao,748,2,0.27
eletrodomesticos,764,2,0.26
alimentos,450,1,0.22
casa_construcao,490,1,0.2
cama_mesa_banho,9417,18,0.19
moveis_escritorio,1273,1,0.08
tablets_impressao_imagem,79,0,0.0
sinalizacao_e_seguranca,140,0,0.0
portateis_casa_forno_e_cafe,75,0,0.0
pcs,181,0,0.0
moveis_quarto,95,0,0.0
livros_tecnicos,260,0,0.0
livros_importados,53,0,0.0
industria_comercio_e_negocios,235,0,0.0
fashion_underwear_e_moda_praia,121,0,0.0
construcao_ferramentas_ferramentas,97,0,0.0
cine_foto,65,0,0.0
casa_conforto,397,0,0.0
agro_industria_e_comercio,182,0,0.0
